title,description,content,publishedAt,url,source
Silo season 3 is coming: Here’s everything we know right now,"Silo season 3 is coming to Apple TV+, here’s everything we know so far about the next chapter of the hit dystopian thriller.","Apple’s biggest hit ever, Severance, is far from the only sci-fi success in the Apple TV+ catalog. The dystopian thriller Silo aired its second season last fall, and season 3 is well under way. Here’s everything we know so far about Silo season 3.
Se... [2731 chars]",2025-07-18T21:01:12Z,https://9to5mac.com/2025/07/18/silo-season-3-is-coming-heres-everything-we-know-so-far/,9to5Mac
"32"" 6K ProArt Display From ASUS Launching in Late August","ASUS is planning to release its 32-inch 6K ProArt Display PA32QCV in August, with the device set to compete with Apple's Pro Display XDR and...","ASUS is planning to release its 32-inch 6K ProArt Display PA32QCV in August, with the device set to compete with Apple's Pro Display XDR and Studio Display. The upcoming ProArt Display was first announced at CES in January, but it's finally ready to ... [2093 chars]",2025-07-18T20:58:24Z,https://www.macrumors.com/2025/07/18/asus-6k-proart-display-august/,MacRumors
Apple exempt from Corning's EU antitrust probe deal,"The EC has concluded an antitrust investigation into Corning’s glass supply deals. And for once, Apple just watched from the sidelines.","The European Commission has concluded an antitrust investigation into Corning’s glass supply deals. And for once, Apple just watched from the sidelines.
Apple not part of the relevant market
The European Commission has accepted a series of commitment... [4754 chars]",2025-07-19T17:31:54Z,https://9to5mac.com/2025/07/19/apple-exempt-from-cornings-eu-antitrust-probe-deal/,9to5Mac
The 5 streaming TV series dominating our screens this week,"The top streaming TV series dominating platforms like Netflix, Prime Video, and Apple TV+ this week, according to new Reelgood data.","A reformed serial killer, a conspiracy buried in cold cases, and a dysfunctional romance that’s somehow still worth rooting for — that’s just a taste of the TV series that are topping the streaming charts right now, according to Reelgood’s latest ran... [3292 chars]",2025-07-19T16:00:00Z,https://bgr.com/entertainment/the-5-streaming-tv-series-dominating-our-screens-this-week/,BGR
Apple AirPods 4 Earbuds Are Back On Sale For Under $90,"We've rounded up some decent discounts on a variety of earbuds from Apple, OnePlus, Samsung, and more.","Did you miss out on Amazon's Prime Day sales event last week? For the first time, Amazon ran the annual sales bonanza for 96 hours, but if you still managed to miss it, don't fret. You can always find deals on Amazon, especially when it comes to audi... [2557 chars]",2025-07-19T15:05:00Z,https://hothardware.com/news/apple-airpods-4-earbuds-sale-under-90,Hot Hardware
Apple @ Work: Device management migration arrives with iOS 26 and macOS 26,"Learn how iOS 26 and macOS 26 make it easier to migrate devices between management systems without losing data, breaking apps, or disrupting users.","Apple @ Work is exclusively brought to you by Mosyle, the only Apple Unified Platform. Mosyle is the only solution that integrates in a single professional-grade platform all the solutions necessary to seamlessly and automatically deploy, manage, and... [6314 chars]",2025-07-19T13:00:00Z,https://9to5mac.com/2025/07/19/how-device-management-system-migration-works-with-ios-26-and-macos-26/,9to5Mac
Leaked iPhone 17 Air Battery Size Exposes Major Weak Spot,"Apple’s iPhone 17 Air may feature a 2800mAh battery, raising concerns about battery life despite its sleek design.","Apple is getting ready to launch a new addition to its iPhone series this autumn — the remarkably slim iPhone 17 Air. The appearance will definitely turn heads, but it may do so at the expense of a reduced battery life.
iPhone 17 Air May Have Sleek A... [1849 chars]",2025-07-19T11:14:41Z,https://www.gizchina.com/2025/07/19/leaked-iphone-17-air-battery-size-exposes-major-weak-spot/,Gizchina.com
Apple pressures Samsung and LG to help it combat tariffs by reducing their profits,Apple is pressuring Samsung and LG to help it combat U.S. tariffs.,"*Image credit — Bloomberg
iPhone 16e uses displays provided by BOE. | Video credit — Apple
iPhone 17
iPhone 17
This pressure from the president has been tough on CEO Tim Cook , but the company has deemed the tariffs to be more acceptable than shiftin... [829 chars]",2025-07-18T23:20:19Z,https://www.phonearena.com/news/apple-pressures-samsung-lg-to-help-combat-tariffs-by-reducing-their-profits_id172420,PhoneArena
"I'm Glad My Mom Died Is My Favorite Memoir, And It's Getting A TV Adaptation. Here's What We Know So Far About The Series",I'm Glad My Mom Died is getting an Apple TV+ adaptation. Here is what we know so far.,"I didn’t think this would come, but one of my favorite memoirs is getting an upcoming book-to-screen adaptation , and that is I’m Glad My Mom Died by Jennette McCurdy.
I know, I’m sure that at face value, that title is bold, and if you haven't heard ... [5904 chars]",2025-07-18T22:03:00Z,https://www.cinemablend.com/streaming-news/im-glad-my-mom-died-memoir-getting-tv-adaptation-what-we-know,CinemaBlend
Why Foundation Season 3 Made One Major Change For Jared Harris' Hari Seldon [Exclusive],Jared Harris explains the major change he asked the Foundation writers to implement for his character in season 3 of the Apple TV+ sci-fi series.,"""In the original scripts, Gaal woke up and saw that Hari's cryotube was empty and all covered with vines, and [she] rushes to find him and discovers he's 110 years old or something,"" the actor told /Film during a press event ahead of the release of s... [1775 chars]",2025-07-18T22:00:00Z,https://www.slashfilm.com/1915056/foundation-season-3-jared-harris-hari-seldon-change-explained/,/FILM
Silo season 3 is coming: Here’s everything we know right now,"Silo season 3 is coming to Apple TV+, here’s everything we know so far about the next chapter of the hit dystopian thriller.","Apple’s biggest hit ever, Severance, is far from the only sci-fi success in the Apple TV+ catalog. The dystopian thriller Silo aired its second season last fall, and season 3 is well under way. Here’s everything we know so far about Silo season 3.
Se... [2731 chars]",2025-07-18T21:01:12Z,https://9to5mac.com/2025/07/18/silo-season-3-is-coming-heres-everything-we-know-so-far/,9to5Mac
"32"" 6K ProArt Display From ASUS Launching in Late August","ASUS is planning to release its 32-inch 6K ProArt Display PA32QCV in August, with the device set to compete with Apple's Pro Display XDR and...","ASUS is planning to release its 32-inch 6K ProArt Display PA32QCV in August, with the device set to compete with Apple's Pro Display XDR and Studio Display. The upcoming ProArt Display was first announced at CES in January, but it's finally ready to ... [2093 chars]",2025-07-18T20:58:24Z,https://www.macrumors.com/2025/07/18/asus-6k-proart-display-august/,MacRumors
Apple exempt from Corning's EU antitrust probe deal,"The EC has concluded an antitrust investigation into Corning’s glass supply deals. And for once, Apple just watched from the sidelines.","The European Commission has concluded an antitrust investigation into Corning’s glass supply deals. And for once, Apple just watched from the sidelines.
Apple not part of the relevant market
The European Commission has accepted a series of commitment... [4754 chars]",2025-07-19T17:31:54Z,https://9to5mac.com/2025/07/19/apple-exempt-from-cornings-eu-antitrust-probe-deal/,9to5Mac
The 5 streaming TV series dominating our screens this week,"The top streaming TV series dominating platforms like Netflix, Prime Video, and Apple TV+ this week, according to new Reelgood data.","A reformed serial killer, a conspiracy buried in cold cases, and a dysfunctional romance that’s somehow still worth rooting for — that’s just a taste of the TV series that are topping the streaming charts right now, according to Reelgood’s latest ran... [3292 chars]",2025-07-19T16:00:00Z,https://bgr.com/entertainment/the-5-streaming-tv-series-dominating-our-screens-this-week/,BGR
Apple AirPods 4 Earbuds Are Back On Sale For Under $90,"We've rounded up some decent discounts on a variety of earbuds from Apple, OnePlus, Samsung, and more.","Did you miss out on Amazon's Prime Day sales event last week? For the first time, Amazon ran the annual sales bonanza for 96 hours, but if you still managed to miss it, don't fret. You can always find deals on Amazon, especially when it comes to audi... [2557 chars]",2025-07-19T15:05:00Z,https://hothardware.com/news/apple-airpods-4-earbuds-sale-under-90,Hot Hardware
Apple @ Work: Device management migration arrives with iOS 26 and macOS 26,"Learn how iOS 26 and macOS 26 make it easier to migrate devices between management systems without losing data, breaking apps, or disrupting users.","Apple @ Work is exclusively brought to you by Mosyle, the only Apple Unified Platform. Mosyle is the only solution that integrates in a single professional-grade platform all the solutions necessary to seamlessly and automatically deploy, manage, and... [6314 chars]",2025-07-19T13:00:00Z,https://9to5mac.com/2025/07/19/how-device-management-system-migration-works-with-ios-26-and-macos-26/,9to5Mac
Leaked iPhone 17 Air Battery Size Exposes Major Weak Spot,"Apple’s iPhone 17 Air may feature a 2800mAh battery, raising concerns about battery life despite its sleek design.","Apple is getting ready to launch a new addition to its iPhone series this autumn — the remarkably slim iPhone 17 Air. The appearance will definitely turn heads, but it may do so at the expense of a reduced battery life.
iPhone 17 Air May Have Sleek A... [1849 chars]",2025-07-19T11:14:41Z,https://www.gizchina.com/2025/07/19/leaked-iphone-17-air-battery-size-exposes-major-weak-spot/,Gizchina.com
Apple pressures Samsung and LG to help it combat tariffs by reducing their profits,Apple is pressuring Samsung and LG to help it combat U.S. tariffs.,"*Image credit — Bloomberg
iPhone 16e uses displays provided by BOE. | Video credit — Apple
iPhone 17
iPhone 17
This pressure from the president has been tough on CEO Tim Cook , but the company has deemed the tariffs to be more acceptable than shiftin... [829 chars]",2025-07-18T23:20:19Z,https://www.phonearena.com/news/apple-pressures-samsung-lg-to-help-combat-tariffs-by-reducing-their-profits_id172420,PhoneArena
"I'm Glad My Mom Died Is My Favorite Memoir, And It's Getting A TV Adaptation. Here's What We Know So Far About The Series",I'm Glad My Mom Died is getting an Apple TV+ adaptation. Here is what we know so far.,"I didn’t think this would come, but one of my favorite memoirs is getting an upcoming book-to-screen adaptation , and that is I’m Glad My Mom Died by Jennette McCurdy.
I know, I’m sure that at face value, that title is bold, and if you haven't heard ... [5904 chars]",2025-07-18T22:03:00Z,https://www.cinemablend.com/streaming-news/im-glad-my-mom-died-memoir-getting-tv-adaptation-what-we-know,CinemaBlend
